id	severity	title	effort	owner	phase	baseline_evidence
A-01	Critical	Meta descriptions are empty across the site	Medium	DGTL	0	RECONSTRUCTED — copy verbatim from the audit Evidence row. Task note: "Both are empty. /pianotuning first — it carries the live Gazelle booking link and is the highest-value page on the site."
A-02	Critical	The /pianotuning meta description is empty on the highest-value page	Medium	DGTL	0	RECONSTRUCTED — copy verbatim from the audit Evidence row. /pianotuning carries the live Gazelle booking link.
A-03	High	Title tags carry no service term and no city	Medium	DGTL	0	RECONSTRUCTED — copy verbatim from the audit Evidence row. Task note: "Home is currently just 'The Piano Boutique' — no service term, no city."
A-04	Medium	OG and Twitter image URLs are served over http and break link previews	Low	DGTL	0	RECONSTRUCTED — copy verbatim from the audit Evidence row. Task note: "og:image is served over http:// and breaks link previews when shared."
A-05	High	No structured data anywhere on the site	High	DGTL	1	RECONSTRUCTED — copy verbatim from the audit Evidence row. No LocalBusiness, Person or FAQPage schema present.
B-01	Critical	Three conflicting business addresses across the citation index	High	DGTL + Client	0	RECONSTRUCTED — copy verbatim from the audit Evidence row. 501 Alliance Ave Suite 405B M6N 2J1 (correct, claimed on Yelp); 104 Kenhar Drive (separate unclaimed Yelp record); 20 Leslie St (third directory listing).
C-01	High	Site copy contradicts the current product line and location	Medium	DGTL	1	RECONSTRUCTED — copy verbatim from the audit Evidence row. Hailun featured; Kawai featured; "tucked away in North York"; "NEW Location Opening Saturday, June 13th" banner still live.
C-02	Medium	Blog posts are bylined "Guest User" rather than Michael Ierullo	Medium	DGTL	1	RECONSTRUCTED — copy verbatim from the audit Evidence row. Posts from Oct 2025 to Jan 2026 published anonymously.
D-01	Medium	All six footer social links are broken or malformed	Low	DGTL	1	RECONSTRUCTED — copy verbatim from the audit Evidence row. All six are http://; linkedin.com/pianoboutique is not a valid LinkedIn URL structure — needs /company/. Footer is site-wide.
E-01	Critical	Unlicensed artist press photos used commercially on the tuning page	Medium	DGTL	0	RECONSTRUCTED — copy verbatim from the audit Evidence row. Drake, Michael Buble and Alicia Keys press images in commercial use.
F-01	Low	A six-question tuning FAQ already exists on the page and should be preserved	Low	DGTL	1	RECONSTRUCTED — healthy finding. Six questions already visible and usable verbatim as FAQPage markup.
F-02	Critical	No measurement layer — no GA4, no verified Search Console, no conversion tracking	High	DGTL	0	RECONSTRUCTED — copy verbatim from the audit Evidence row. Without conversion tracking there is no way to attribute anything Workstream C produces.
